optID,theoryPrice,computeTime,error
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.9780 = -7.977910 ≤ 0
请检查参数: sigma=13.4, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.9405 = -8.940410 ≤ 0
请检查参数: sigma=14.1, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249910 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.6580 = -9.657920 ≤ 0
请检查参数: sigma=14.6, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249930 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.0007"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.3845 = -8.384430 ≤ 0
请检查参数: sigma=13.7, nu=0.1, theta=-0.0007"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.5220 = -8.521910 ≤ 0
请检查参数: sigma=13.8, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.9520 = -9.951910 ≤ 0
请检查参数: sigma=14.8, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.4820 = -11.481890 ≤ 0
请检查参数: sigma=15.8, nu=0.1, theta=-0.0011"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.0820 = -9.081900 ≤ 0
请检查参数: sigma=14.2, nu=0.1, theta=-0.001"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.2245 = -9.224410 ≤ 0
请检查参数: sigma=14.3, nu=0.1, theta=-0.0009"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.8000 = -11.799920 ≤ 0
请检查参数: sigma=16.0, nu=0.1, theta=-0.0008"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 14.6205 = -13.620430 ≤ 0
请检查参数: sigma=17.1, nu=0.1, theta=-0.0007"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.9520 = -9.951890 ≤ 0
请检查参数: sigma=14.8, nu=0.1, theta=-0.0011"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 7.6880 = -6.687880 ≤ 0
请检查参数: sigma=12.4, nu=0.1, theta=-0.0012"
10002053,,,"VG参数不满足约束条件: 1 - -0.0001 - 6.4980 = -5.497890 ≤ 0
请检查参数: sigma=11.4, nu=0.1, theta=-0.0011"
10002053,0.0864647427508825,0.0,
10002053,,,"VG参数不满足约束条件: 1 - -0.0004 - 10.9520 = -9.951640 ≤ 0
请检查参数: sigma=14.8, nu=0.1, theta=-0.0036"
10002054,,,"VG参数不满足约束条件: 1 - -0.0000 - 6.9620 = -5.961970 ≤ 0
请检查参数: sigma=11.8, nu=0.1, theta=-0.0003"
10002054,,,"VG参数不满足约束条件: 1 - -0.0000 - 7.5645 = -6.564480 ≤ 0
请检查参数: sigma=12.3, nu=0.1, theta=-0.0002"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.6605 = -8.660450 ≤ 0
请检查参数: sigma=13.9, nu=0.1, theta=-0.0005"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.1125 = -8.112450 ≤ 0
请检查参数: sigma=13.5, nu=0.1, theta=-0.0005"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.3845 = -8.384440 ≤ 0
请检查参数: sigma=13.7, nu=0.1, theta=-0.0006"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249940 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.0006"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.8000 = -11.799940 ≤ 0
请检查参数: sigma=16.0, nu=0.1, theta=-0.0006"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.3245 = -11.324440 ≤ 0
请检查参数: sigma=15.7, nu=0.1, theta=-0.0006"
10002054,,,"VG参数不满足约束条件: 1 - -0.0000 - 11.4005 = -10.400460 ≤ 0
请检查参数: sigma=15.1, nu=0.1, theta=-0.0004"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.6605 = -8.660450 ≤ 0
请检查参数: sigma=13.9, nu=0.1, theta=-0.0005"
10002054,,,"VG参数不满足约束条件: 1 - -0.0000 - 10.3680 = -9.367960 ≤ 0
请检查参数: sigma=14.4, nu=0.1, theta=-0.0004"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.3680 = -9.367950 ≤ 0
请检查参数: sigma=14.4, nu=0.1, theta=-0.0005"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.9520 = -9.951940 ≤ 0
请检查参数: sigma=14.8, nu=0.1, theta=-0.0006"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249920 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.0008"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.1005 = -10.100420 ≤ 0
请检查参数: sigma=14.9, nu=0.1, theta=-0.0008"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.9520 = -9.951910 ≤ 0
请检查参数: sigma=14.8, nu=0.1, theta=-0.0009"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.9405 = -8.940410 ≤ 0
请检查参数: sigma=14.1, nu=0.1, theta=-0.0009"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249910 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.0009"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.4820 = -11.481900 ≤ 0
请检查参数: sigma=15.8, nu=0.1, theta=-0.001"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 12.6405 = -11.640430 ≤ 0
请检查参数: sigma=15.9, nu=0.1, theta=-0.0007"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 11.2500 = -10.249900 ≤ 0
请检查参数: sigma=15.0, nu=0.1, theta=-0.001"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.6580 = -9.657890 ≤ 0
请检查参数: sigma=14.6, nu=0.1, theta=-0.0011"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.5125 = -9.512360 ≤ 0
请检查参数: sigma=14.5, nu=0.1, theta=-0.0014"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.0820 = -9.081870 ≤ 0
请检查参数: sigma=14.2, nu=0.1, theta=-0.0013"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.3680 = -9.367910 ≤ 0
请检查参数: sigma=14.4, nu=0.1, theta=-0.0009"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 8.3205 = -7.320440 ≤ 0
请检查参数: sigma=12.9, nu=0.1, theta=-0.0006"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 9.2480 = -8.247940 ≤ 0
请检查参数: sigma=13.6, nu=0.1, theta=-0.0006"
10002054,,,"VG参数不满足约束条件: 1 - -0.0001 - 10.2245 = -9.224430 ≤ 0
请检查参数: sigma=14.3, nu=0.1, theta=-0.0007"
10002054,,,"VG参数不满足约束条件: 1 - 0.0000 - 38.6420 = -37.642000 ≤ 0
请检查参数: sigma=27.8, nu=0.1, theta=0.0"
10002055,,,"VG参数不满足约束条件: 1 - -0.0000 - 8.9780 = -7.977990 ≤ 0
请检查参数: sigma=13.4, nu=0.1, theta=-0.0001"
10002055,,,"VG参数不满足约束条件: 1 - 0.0000 - 9.8000 = -8.800000 ≤ 0
请检查参数: sigma=14.0, nu=0.1, theta=0.0"
10002055,,,"VG参数不满足约束条件: 1 - -0.0000 - 10.3680 = -9.367980 ≤ 0
请检查参数: sigma=14.4, nu=0.1, theta=-0.0002"
10002055,,,"VG参数不满足约束条件: 1 - -0.0000 - 10.9520 = -9.951990 ≤ 0
请检查参数: sigma=14.8, nu=0.1, theta=-0.0001"
10002055,,,"VG参数不满足约束条件: 1 - -0.0000 - 10.6580 = -9.657970 ≤ 0
请检查参数: sigma=14.6, nu=0.1, theta=-0.0003"
10002055,,,"VG参数不满足约束条件: 1 - -0.0000 - 11.7045 = -10.704480 ≤ 0
请检查参数: sigma=15.3, nu=0.1, theta=-0.0002"
10002055,,,"VG参数不满足约束条件: 1 - -0.0000 - 13.9445 = -12.944480 ≤ 0
请检查参数: sigma=16.7, nu=0.1, theta=-0.0002"
10002055,,,"VG参数不满足约束条件: 1 - -0.0000 - 13.4480 = -12.447980 ≤ 0
请检查参数: sigma=16.4, nu=0.1, theta=-0.0002"
